sum_all|count_all|mean|stdev|median|skew|kurtosis|max|min|pct_10|pct_20|pct_30|pct_40|pct_50|pct_60|pct_70|pct_80|pct_90|sum_native|count_native|mean_native|stdev_native|median_native|skew_native|kurtosis_native|max_native|min_native|pct_10_native|pct_20_native|pct_30_native|pct_40_native|pct_50_native|pct_60_native|pct_70_native|pct_80_native|pct_90_native|sum_asian|count_asian|mean_asian|stdev_asian|median_asian|skew_asian|kurtosis_asian|max_asian|min_asian|pct_10_asian|pct_20_asian|pct_30_asian|pct_40_asian|pct_50_asian|pct_60_asian|pct_70_asian|pct_80_asian|pct_90_asian|sum_black|count_black|mean_black|stdev_black|median_black|skew_black|kurtosis_black|max_black|min_black|pct_10_black|pct_20_black|pct_30_black|pct_40_black|pct_50_black|pct_60_black|pct_70_black|pct_80_black|pct_90_black|sum_islander|count_islander|mean_islander|stdev_islander|median_islander|skew_islander|kurtosis_islander|max_islander|min_islander|pct_10_islander|pct_20_islander|pct_30_islander|pct_40_islander|pct_50_islander|pct_60_islander|pct_70_islander|pct_80_islander|pct_90_islander|sum_white|count_white|mean_white|stdev_white|median_white|skew_white|kurtosis_white|max_white|min_white|pct_10_white|pct_20_white|pct_30_white|pct_40_white|pct_50_white|pct_60_white|pct_70_white|pct_80_white|pct_90_white
54786111|1154750|47.44|42.23|37.0|25.793412932219205|3599.5504658348927|9999|1|17.0|23.0|27.0|32.0|37.0|45.0|54.0|66.0|87.0|786027|16074|48.90|36.87|40.0|3.624746954289669|30.713432920894547|656|1|16.0|23.0|28.0|34.0|40.0|49.0|58.0|70.0|89.0|3997955|65458|61.08|43.53|53.0|5.936731534495247|116.81887918093452|1780|1|23.0|30.0|37.0|45.0|53.0|61.0|72.0|85.0|105.0|5141425|118087|43.54|32.51|35.0|5.855899692183225|166.8266287958273|2000|1|16.0|22.0|26.0|30.0|35.0|41.0|50.0|62.0|80.0|787162|13800|57.04|34.77|50.0|2.710794776520662|21.066449442278568|637|2|23.0|30.0|36.0|43.6000000000004|50.0|59.0|69.0|80.0|98.0|35099084|765225|45.87|41.00|36.0|15.426732684644291|991.3571587019647|5000|1|17.0|23.0|27.0|31.0|36.0|42.0|51.0|63.0|84.0
104347180|1979039|52.73|96.78|41.0|683.6776244631798|638586.029907946|99999|1|20.0|25.0|30.0|35.0|41.0|50.0|60.0|74.0|98.0|1318584|22815|57.79|49.65|49.0|29.810196181659705|2367.610698149965|4300|1|20.0|27.0|34.0|41.0|49.0|58.0|69.0|82.0|103.0|7784171|113087|68.83|45.21|60.0|3.159429877965891|31.353954832982957|1123|1|25.0|34.0|42.0|50.0|60.0|70.0|82.0|98.0|121.0|11942208|244568|48.83|94.04|38.0|380.272296146975|171460.34221771243|42600|1|19.0|24.0|28.0|32.0|38.0|46.0|56.0|70.0|91.0|1348289|20633|65.35|40.91|58.0|2.22772887777084|12.16396588885013|620|1|25.0|32.0|40.0|49.0|58.0|67.0|78.0|93.0|114.0|69511692|1362037|51.04|63.71|40.0|427.2646085707414|347290.7088648581|52860|1|19.0|25.0|29.0|34.0|40.0|48.0|57.0|71.0|94.0
124610458|2158152|57.74|54.60|46.0|121.29883380206782|48813.0706497053|26300|1|20.0|27.0|32.0|38.0|46.0|54.0|66.0|81.0|109.0|1342686|21386|62.78|142.99|52.0|126.8574362196996|17676.19934665905|20000|1|21.0|29.0|36.0|44.0|52.0|62.0|74.0|90.0|113.0|9015952|122449|73.63|51.48|62.0|7.351004125869796|366.2709079319157|4000|1|26.0|35.0|44.0|53.0|62.0|74.0|88.0|106.0|133.0|15774830|279134|56.51|44.77|45.0|20.797892346605238|2512.8012000524814|6966|1|21.0|26.0|31.0|37.0|45.0|54.0|65.0|81.0|108.0|1510248|21029|71.82|45.79|62.0|3.106653526072552|42.68601071960474|1395|1|27.0|36.0|45.0|53.0|62.0|73.0|86.0|102.0|127.0|82963774|1489135|55.71|54.15|44.0|142.2978079728937|60457.688332613594|26300|1|20.0|26.0|32.0|37.0|44.0|52.0|63.0|78.0|104.0
59279195|972134|60.98|57.24|48.0|32.730719606352906|5961.510462116693|15000|1|20.0|27.0|33.0|40.0|48.0|56.0|69.0|85.0|115.0|539191|8686|62.08|46.38|52.0|2.6763444893562025|17.032708834573832|730|1|18.0|27.0|35.0|43.0|52.0|62.0|75.0|91.0|116.0|4733618|63304|74.78|59.67|62.0|10.626723424912079|476.6462934094015|4000|1|25.0|35.0|43.0|51.0|62.0|73.0|87.0|105.0|136.0|5473963|88260|62.02|48.00|50.0|3.113643795874579|22.788666590933325|1000|1|20.0|28.0|34.0|41.0|50.0|60.0|72.0|90.0|118.0|608108|8289|73.36|50.54|64.0|2.6481763779365535|16.741123081626988|825|1|25.0|35.0|44.0|53.0|64.0|75.0|88.5999999999995|105.0|130.0|40842682|697420|58.56|53.10|45.0|14.710005112891764|1253.9575315048485|8250|1|20.0|26.0|32.0|38.0|45.0|54.0|65.0|81.0|110.0
9752450|156908|62.15|78.25|39.0|12.78184213531873|851.7289154837389|8000|1|9.0|18.0|25.0|31.0|39.0|49.0|63.0|86.0|143.0|77288|1458|53.01|68.33|34.0|4.146472603219427|33.37397411165544|1000|1|6.0|9.0|14.0|24.8000000000001|34.0|45.0|56.0|73.0|123.0|1033061|12385|83.41|88.90|53.0|6.531082140449202|168.9921921760172|3404|1|18.0|27.0|35.0|44.0|53.0|69.0|90.0|123.0|189.0|462067|9515|48.56|76.28|32.0|30.183664344271893|1870.984753712005|5000|1|5.0|9.0|15.0|24.0|32.0|42.0|53.0|70.0|102.6|70340|1150|61.17|68.14|44.0|2.943461554161038|12.096922524118405|500|1|8.0|12.0|25.0|33.0|44.0|51.0|66.0|91.2|137.0|6712125|113659|59.05|72.71|37.0|5.968418534658993|123.48370749004772|3404|1|9.0|17.0|24.0|30.0|37.0|46.0|59.0|80.0|134.0
3224067|63741|50.58|72.43|31.0|17.529693938139925|1296.642546993941|6900|1|7.0|12.0|19.0|25.0|31.0|40.0|50.0|68.0|108.0|23683|492|48.14|61.37|30.0|3.3588109503341923|14.901896088638232|500|1|6.0|10.0|14.0|22.0|30.0|40.0|51.7|68.8|100.0|249235|3745|66.55|76.76|42.0|3.9164829452831684|24.3659900890208|943|1|15.0|24.0|30.0|35.0|42.0|50.0|65.0|90.0|150.0|124935|3835|32.58|47.11|15.0|5.961529616978927|73.19979130556709|1000|1|4.0|5.0|8.0|10.0|15.0|27.0|37.0|50.0|73.5999999999999|17660|344|51.34|61.69|36.0|4.222897914295027|28.578240166033964|646|2|8.0|12.0|20.0|27.2|36.0|45.0|55.0|71.0|100.0|2505582|50236|49.88|73.34|31.0|20.428435408962912|1558.2928627894676|6900|1|7.0|12.0|19.0|25.0|31.0|39.0|49.0|66.0|105.0
2459476|59168|41.57|74.58|25.0|32.39494832109284|2832.2450319508534|8167|1|5.0|8.0|10.0|17.0|25.0|32.0|42.0|56.0|90.0|20442|374|54.66|266.85|25.0|17.268287043500216|317.2771585885602|5000|1|5.0|7.0|11.9|18.0|25.0|31.0|42.0|54.4|80.0|153879|2845|54.09|60.15|37.0|3.3704804092089575|16.946677272963626|673|1|8.0|17.0|25.0|30.0|37.0|45.0|53.0|74.0|113.2|98965|4486|22.06|39.77|8.0|7.619435171046032|113.75711085501865|980|1|4.0|5.0|5.0|8.0|8.0|10.0|15.0|34.0|55.0|13233|276|47.95|54.43|31.5|2.438448765537561|7.345779043520638|340|2|5.0|8.0|12.0|25.0|31.5|41.0|52.0|75.0|100.0|1931254|46319|41.69|62.48|25.0|7.239980479160868|117.47124387265383|2000|1|5.0|8.0|10.0|19.0|25.0|33.0|42.0|56.0|90.0
2242962|59551|37.66|79.97|15.0|17.927252058426273|711.9513821064469|5000|1|4.0|5.0|7.0|10.0|15.0|25.0|37.0|50.0|85.0|11697|408|28.67|43.59|10.0|3.7254759516636367|17.893658879374744|341|2|4.0|5.0|6.0|8.0|10.0|20.0|29.9|39.0|71.6|135923|2625|51.78|75.49|32.0|6.589136950206525|82.35033276384368|1446|1|5.0|7.0|11.0|23.0|32.0|42.0|54.0|74.0|118.6|95137|5398|17.62|40.24|7.0|11.836218007307322|262.02710275174513|1169|1|4.0|5.0|5.0|6.0|7.0|8.0|9.0|15.0|45.0|11399|360|31.66|48.91|10.0|3.2284883749915894|12.70536911277198|340|2|5.0|5.0|6.7|8.0|10.0|15.0|32.0|45.4|77.3000000000001|1708574|46198|36.98|68.59|17.0|18.47207596289825|972.3451286967813|5000|1|4.0|5.0|8.0|10.0|17.0|26.0|37.0|51.0|84.0
2343356|60306|38.86|85.21|13.0|15.97498455799209|511.6464650019048|4550|1|4.0|5.0|6.0|8.0|13.0|25.0|38.0|52.0|93.0|11979|413|29.00|44.65|9.0|4.080397947395888|24.314792675908624|419|2|4.0|5.0|6.0|7.0|9.0|20.0|30.0|48.2|74.4|147390|2630|56.04|102.64|34.0|10.599769982106173|183.5916298408668|2250|2|5.0|7.0|10.0|22.0|34.0|45.0|55.0|78.0|126.1|87243|4971|17.55|37.43|6.0|9.905931514974656|188.01091850714255|965|1|4.0|5.0|5.0|5.0|6.0|8.0|9.0|15.0|48.0|12700|376|33.78|154.92|9.0|16.999797671868826|312.9105279502586|2900|2|4.0|5.0|6.0|7.0|9.0|10.0|21.0|34.0|62.5|1798252|47565|37.81|68.84|15.0|10.29463496451941|237.93843165807618|3000|1|4.0|5.0|7.0|9.0|15.0|25.0|38.0|52.0|92.0
3025923|66235|45.68|99.15|20.0|20.334945870329733|994.5320803593239|8150|1|4.0|6.0|8.0|10.0|20.0|32.0|45.0|64.0|105.0|19399|485|40.00|67.64|18.0|5.465394209827837|45.7192299641651|817|2|4.0|6.0|7.0|9.0|18.0|26.4|39.8|57.0|100.0|210494|3261|64.55|85.57|43.0|5.913491621976337|72.03454498424328|1650|1|6.0|9.0|22.0|33.0|43.0|52.0|68.0|94.0|145.0|108540|5128|21.17|40.82|8.0|6.529708269390335|76.83701280564888|901|1|4.0|5.0|5.0|6.0|8.0|8.0|10.0|26.0|56.0|14489|396|36.59|59.91|10.0|3.999080199870831|21.451662291991497|500|2|5.0|6.0|7.0|9.0|10.0|19.0|37.5|51.0|87.5|2284410|52420|43.58|83.49|20.0|24.26437863609984|1814.5242808158246|8150|1|4.0|6.0|8.0|11.0|20.0|31.0|45.0|62.0|103.0
3310632|73741|44.90|114.16|17.0|31.42594740167643|1932.6915911308683|10000|1|4.0|6.0|8.0|10.0|17.0|30.0|44.0|62.0|102.0|18471|515|35.87|54.71|11.0|5.9720496980361615|68.63866979772122|785|2|5.0|5.80000000000001|7.0|8.0|11.0|25.0|39.0|59.2|95.0|260941|3789|68.87|157.63|48.0|34.68200912424494|1696.276907090788|8000|1|7.0|10.0|23.0|36.0|48.0|56.0|72.0|95.0|145.0|125385|6002|20.89|47.12|8.0|12.132526747574717|322.7615773373291|1720|1|4.0|5.0|5.0|6.0|8.0|8.0|10.0|19.0|51.0|13864|414|33.49|52.88|10.0|4.68660797196069|36.03331400310047|600|1|5.0|6.0|7.0|8.0|10.0|13.0|38.0|54.0|81.0|2474464|58394|42.38|88.77|17.0|22.78254758508449|1416.6551465696803|8150|1|4.0|6.0|8.0|10.0|17.0|29.0|42.0|60.0|100.0
3418728|79993|42.74|96.54|13.0|21.679972332807512|1178.4257632239473|8550|1|5.0|6.0|8.0|9.0|13.0|24.0|41.0|62.0|103.0|18673|534|34.97|53.35|11.0|4.669432644057934|38.77405426096388|655|2|4.0|5.0|7.0|8.0|11.0|23.0|40.0|52.0|91.7|287725|4138|69.53|111.20|48.0|14.584683447724409|422.0008757282935|4000|1|7.0|9.0|16.0|35.0|48.0|61.0|75.0|100.0|150.0|149947|7147|20.98|57.47|8.0|23.809093120446704|1062.8249918476556|3000|1|4.0|5.0|5.0|6.0|8.0|9.0|10.0|15.0|50.0|16008|452|35.42|61.91|11.0|3.913538679875281|19.50118138059973|500|2|5.0|7.0|8.0|9.0|11.0|14.0|25.0|50.0|87.9|2533359|62282|40.68|86.26|13.0|24.162382369198706|1709.502926302973|8550|1|5.0|6.0|7.0|9.0|13.0|23.0|39.0|59.0|100.0
3540255|88869|39.84|318.80|12.0|261.9655586637019|74581.88538647567|91000|1|5.0|6.0|8.0|9.0|12.0|15.0|30.0|57.0|100.0|18317|633|28.94|50.22|10.0|4.762581097552673|33.44032696264642|544|2|4.0|6.0|7.0|8.0|10.0|13.0|17.0|45.0|79.0|317050|4762|66.58|125.43|48.0|23.9572428278554|936.7601691672936|5650|2|7.0|9.0|14.0|25.0|48.0|60.0|76.0|98.0|150.0|158200|8532|18.54|35.99|8.0|6.344496890887656|66.66892708353323|800|1|4.0|5.0|6.0|7.0|8.0|10.0|14.0|15.0|42.0|21875|668|32.75|51.43|11.0|3.546001752578871|16.46301383272109|423|2|6.0|7.40000000000001|9.0|10.0|11.0|15.0|18.9|51.6|89.0|2549923|68814|37.06|73.87|12.0|13.403117482333782|494.5597343935978|5000|1|5.0|6.0|8.0|9.0|12.0|15.0|28.0|53.0|99.0
